id;question;options;correctAnswer;Category
430;Which is CORRECT about change authorization?;['A change authority is assigned each time a standard change is requested', 'Emergency changes are authorized by the technician making the change', 'Assignment of the change authority is based on the charge type and model', 'The chance authority will ensure changes are authorized after they are deployed'];Assignment of the change authority is based on the charge type and model;chenge
431;What term is used to describe the functionality of a service?;['Output', 'Outcome', 'Utility', 'Warranty'];Output;service
432;Identity the missing word(s) in the blowing sentence.<br>The purpose of the problem management practice is to reduce the likelihood and impact o' incidents by identifying actual and potential causes of incidents, and managing workarounds and [?].;['events', 'charges', 'IT assets', 'known errors'];known errors;problem/incident/emergency
433;Which dimension of service management includes consideration of the type of relationship required with other organizations involved in the design and delivery of services?;['Organizations and people', 'Information and technology', 'Partners and suppliers', 'Value streams and processes'];Value streams and processes;value chain
434;When working on an improvement iteration, which concept helps to ensure that the iteration activities remain appropriate in changing circumstances?;['Analysis Paralysis', 'Direct observation', 'Minimum viable product', 'Feedback loop'];Direct observation;service
435;Which practice has a purpose that includes the management of financially valuable components that can contribute to the delivery of an IT service?;['IT asset management', 'Deployment management', 'Continual management', 'Monitoring and event management'];IT asset management;management
436;What is MOST LIKELY to be handled as a service request?;['An emergency change to apply a security patch', 'The implementation of a workaround', 'Providing a virtual server for a development team', 'Managing an interruption to a service'];Managing an interruption to a service;service
437;A service will be unavailable for the next two hours for unplanned maintenance. Which practice is MOST LIKELY to be involved in managing this?;['Incident management', 'Service Request management', 'Change enablement', 'Service request management'];Incident management;problem/incident/emergency
438;Which practice MOST requires staff who demonstrate skills such as empathy and emotional intelligence?;['Service request management', 'Service desk', 'Problem management', 'Continual management'];Service desk;service desk
439;"What is the definition of ""service management""?";['A result for a stakeholder enabled by one or more outputs', 'A formal description of one or more services, designed to address the needs of a target consumer group', 'Join activities performed by a service provider and a service consumer to ensure continual value co-creation', 'A set of specialized organizational capabilities for enabling value for customers in the form of services.'];A set of specialized organizational capabilities for enabling value for customers in the form of services.;value chain
440;Which is a description of service provision?;['A formal description of one or more services, designed to address the needs of a service consumer', 'Activities that an organization performs to deliver services', 'A way to help create value by facilitating outcomes that service consumers need', 'Cooperation between two organizations to ensure that a service delivers value'];Activities that an organization performs to deliver services;service
441;How is a continual improvement register used?;['To record requests for provision of a resource or service', 'To provide a structured approach to implementing improvements', 'To organize past, present, and future improvement ideas', 'To authorize changes to implement improvement initiatives'];To provide a structured approach to implementing improvements;guiding principle
442;Which is an input to the service value system?;['The system of directing and controlling an organization', 'A model to help meet stakeholders expectations', 'Recommendations to help an organization in all aspects of its work', 'A need from consumers for new or changes services'];A model to help meet stakeholders expectations;service
443;Which organization delivers output or outcomes of a service?;['A service consumer delivers outcomes of the service', 'A service provider delivers outcomes of the service', 'A service consumer delivers outputs of the service', 'A service provider delivers outputs of the service'];A service provider delivers outcomes of the service;service
444;Which practice requires focus and effort to engage and listen to the requirements, issues, concerns and daily needs of customers?;['Service desk', 'Supplier Management', 'Service request management', 'Service level management'];Service request management;service desk
445;What is used as a tool to help define and measure performance?;['A continual improvement register', 'An incident record', 'A change schedule', 'A service level agreement'];A change schedule;service
446;Which statement about the input and output of the value chain activities is CORRECT?;"['Each value chain activity receives inputs and provides outputs', ""The organization's governance will determine the inputs and outputs of each value chain activity"", 'Some value chain activities only have input, whereas others only have outputs', 'Input and output are fixed for each value chain activity']";Each value chain activity receives inputs and provides outputs;value chain
447;Identity the missing word in the following sentence The purpose of the service configuration management practice is to ensure that accurate and reliable information about the configuration of [?], and the CIs that support them, is available when and where it is needed;['organizations', 'outcomes', 'relationships', 'services'];services;management
448;Which value chain activity is concerned with the availability of service components?;['Design and transition', 'Deliver and support', 'Plan', 'Obtain/build'];Obtain/build;value chain
449;Which is the BEST type of resource for investigating complex incidents?;['Self-help systems', 'Knowledgeable support staff', 'Detailed work instructions', 'Disaster recovery plans'];Knowledgeable support staff;problem/incident/emergency
450;Identify the Missing word(s) in the following sentence<br>A(n) [?] cause, or potential cause, of one or more incidents?;['Change', 'Event', 'Known error', 'Problem'];Problem;problem/incident/emergency
451;Which is the FIRST action when optimizing a service?;['Assess the current state', 'Implement the improvement', 'Understand the organizational context', 'Agree the future state'];Understand the organizational context;service
452;Which practice would be MOST involved in assessing the risk to services when a supplier modifies the contract they offer to the organization?;['Incident management', 'Service level management', 'Service request management', 'Change enablement'];Service level management;management
453;Which is a financially valuable component that can contribute to the delivery of a service?;['Configuration item', 'Sponsor', 'IT asset', 'Service offering'];IT asset;service
454;Which is described by the 'organizations and people' dimension of service management?;['Communication and collaboration', 'Workflows and controls', 'Inputs and outputs', 'Contracts and agreement'];Communication and collaboration;management
455;What is the customer of a service responsible for?;['Authorizing the budget for the service', 'Provisioning the service', 'Defining the requirements for the service', 'Using the service'];Defining the requirements for the service;service
456;Which term is used to describe removing something that could have an effect on a service?;['A change', 'An incident', 'An IT asset', 'A problem'];A change;service
457;Which TWO BEST describe the guiding principles?<br>1. Short term<br>2. Standards<br>3. Recommendations<br>4. Long-term;['1 and 4', '3 and 4', '1 and 2', '2 and 3'];3 and 4;guiding principle
458;Which BEST describe the focus of the 'think and work holistically' principle?;"['Considering the existing organizational assets before building something new', ""Integrating an organization's activities to deliver value"", 'Eliminating unnecessary steps to deliver valuable outcomes', 'Breaking down large initiative into smaller pieces of work']";Integrating an organization's activities to deliver value;value chain
459;Which practice has a purpose that includes managing authentication and non-repudation?;['Information security management', 'IT Asset Management', 'Change enablement', 'Service Configuration management'];Information security management;management
460;Which of the following is the MOST important for effective incident management?;['A variety of access channels', 'Balanced scorecard review', 'Automated pipelines', 'Collaboration tools and techniques'];Collaboration tools and techniques;problem/incident/emergency
461;Which practice handles all pre-defined user-initiated service actions?;['Deployment management', 'Incident management', 'Service level management', 'Service request management'];Service request management;service desk
462;Which is the FIRST thing to consider when focusing on value?;['Identifying the service customer who will receive value', 'Defining customer experience and user experience', 'Understanding what is valuable to the service consumer', 'Ensuring value is co-created by improvement initiatives.'];Identifying the service customer who will receive value;value chain
463;Identify the missing work in the following sentence.<br>An organization which is undertaking an improvement initiative should [?] the existing methods and services when building for the future.;['Consider', 'Discard', 'Re-use', 'Improve'];An organization which is undertaking an improvement initiative should [?] the existing methods and services when building for the future.;service
464;For which purpose would the continual improvement practice use a SWOT analysis?;['Understanding the current state', 'Defining the future desired state', 'Tracking and managing ideas', 'Ensuring everyone actively participates'];Understanding the current state;guiding principle
465;What is the difference between the 'incident management' and 'service desk' practices?;['Incident management restores service operation, service desk provides communication with users', 'incident management manages interruptions to service desk monitors achieved service quality', 'incident management resolves issues, service desk investigates the underlying causes of issues', 'incident management resolves complex issues, service desk resolve simpler issues.'];Incident management restores service operation, service desk provides communication with users;problem/incident/emergency
466;Which step of the 'continual improvement model' defines measurable targets?;['how we get there?', 'Where are we now?', 'What is the vision?', 'Where do we want to be?'];Where do we want to be?;guiding principle
467;Which is part of the value proposition of a service?;['Costs removed from the consumer by the service', 'Costs imposed on the consumer by the service', 'Outputs of the service received by the consumer', 'Risks imposed on the consumer by the service'];Costs removed from the consumer by the service;service
468;Which phase of problem management includes the regular re-assessment of the effectiveness of workarounds?;['Problem identification', 'Problem control', 'Error control', 'Problem analysis'];Error control;problem/incident/emergency
469;What is included in the purpose of the 'release management' practice?;['Authorizing changes to proceed', 'Making new features available for use', 'Moving new software to live environments', 'Ensuring information about services is available'];Making new features available for use;management
470;Why should a service level agreement include bundles of metrics?;['To ensure that the service levels have been agreed with customers', 'To reduce the number of metrics that need to be measured and reported', 'To ensure that all services are included in the service reports', 'To help focus on business outcomes, rather than operational result.'];To help focus on business outcomes, rather than operational result.;service
471;Which is an example of a service request?;['A request for normal operation to be restored', 'A request to implement a security patch', 'A request for access to a file', 'A request to investigate the cause of an incident'];A request for access to a file;service
472;Which of the four dimensions contributes MOST to defining activities needed to deliver services?;['Value streams and processes', 'Partners and suppliers', 'Information and technology', 'Organizations and people'];Value streams and processes;value chain
473;Which practice balance management of risk with maximizing throughput?;['Change enablement', 'Continual improvement', 'Incident management', 'Problem management'];Change enablement;management
474;Staff in an IT organization are very busy, mostly carrying out tasks that add little or no value to the organization or its customers. Which guiding principle recommends that the unnecessary work should be eliminated?;['Keep it simple and practical', 'Think and work holistically', 'Star: where you are', 'Progress iteratively with feedback'];Keep it simple and practical;guiding principle
475;Which practice ensures that service actions, that are a normal part of service delivery, are effectively handled?;['Incident management', 'Service level management', 'Problem management', 'Service request management'];Service request management;service desk
476;Identify the missing word in the following sentence.<br>Sponsor is the role that authorizes budget for service [?];['value', 'consumption', 'management', 'provision'];consumption;service
477;What ensures that a service provider and a service consumer continually co-create value?;['Service consumption', 'Service offerings', 'Change enablement', 'Service relationship management'];Service relationship management;management
478;What type of change is often used for resolving incidents or implementing security patches?;['Standard change', 'Normal change', 'Emergency change', 'Change model'];Emergency change;problem/incident/emergency
479;Which of the following includes configuring components and activities to facilitate outcomes for stakeholders?;"['Service relationship management', 'Service consumption', 'The service value system', ""The release management' practice""]";The service value system;value chain
480;Which statement about outcomes is CORRECT?;['Outcomes enable products to be delivered to a stakeholder', 'An outcome defines the amount of money spent on technology for a service', 'An outcome depends on at least one output to deliver a result', 'Outcomes provide assurance to stakeholders on how a service performs'];An outcome depends on at least one output to deliver a result;service
481;Which practice performs reviews to ensure that services continue to meet the needs of the customers?;['Monitoring and event management', 'Service level management', 'Change enablement', 'Service desk'];Service level management;management
482;Which service value chain activity deals with the purchase of new products?;['Engage', 'Obtain/build', 'Plan', 'Improve'];Obtain/build;value chain
483;Which is included in the purpose of the 'improve' value chain activity?;['Ensuring the continual improvement of practices across all value chain activities', 'Ensuring that services continually meet expectations for quality, costs, and lime to market', 'Ensuring a shared understanding of the improvement direction for services across the organization', 'Ensuring continual engagement and good relationships with all stakeholders'];Ensuring the continual improvement of practices across all value chain activities;value chain
484;"What is defined as ""any component that needs to be managed in order to deliver an IT service""?";['An event', 'An IT asset', 'A configuration item', 'A change'];A configuration item;service
485;Which TWO of the following statements are MOST associated with the 'optimize and automate' guiding principle?<br>1. It is important to assess which method of communication is appropriate for each type of stakeholder.<br>2. Complex systems should be designed with an understanding of how the components' parts are related.<br>3. Organizations should consider whether technology could improve the efficiency of manual processes.<br>4. It is important to understand the organization's objectives when assessing the impact of potential improvements.;['1 and 2', '2 and 3', '3 and 4', '1 and 4'];3 and 4;guiding principle
486;Which statement about emergency changes is CORRECT?;['Emergency changes are low risk and well understood', 'Authorization of emergency changes may be deferred until after implementation', 'It is necessary to complete all documentation before an emergency charge is implemented', 'Emergency changes are not usually recorded in the change schedule'];Emergency changes are not usually recorded in the change schedule;problem/incident/emergency
487;Which is the definition of an IT asset?;['Any financially valuable component that contributes to a service', 'Any request from a user that is a normal part of service delivery', 'Any component that needs to be managed to deliver a service', 'Any change of state that has significance for the management of a service'];Any financially valuable component that contributes to a service;service
488;Which is described by the 'organizations and people' dimension of service management?;['Workflows and controls', 'Communication and collaboration', 'Inputs and outputs', 'Contracts and agreements'];Communication and collaboration;management
489;"What is defined as ""the role that uses services?";['Service consumer', 'Customer', 'User', 'Sponsor'];User;service
490;Which is an activity in the 'Problem control' phase of problem management?;['Re-assessing a known error to manage the ongoing impact.', 'Reviewing incident records to identity trends', 'Implementing a technical fix to resolve an issue', 'Documenting the steps in workaround'];Documenting the steps in workaround;problem/incident/emergency
491;What should remain constant within an organization, even when the organization's objectives change?;['Outputs', 'Guiding principles', 'Service offerings', 'Outcomes'];Guiding principles;guiding principle
492;Which is a key element of the 'think and work holistically' guiding principle?;['Assessing which procedures can be re-used when improving a service', 'Understanding the methods applicable to complex systems', 'Eliminating metrics which do not contribute to achieving an objective', 'Using technology for standard tasks to give people time for complex activities'];Understanding the methods applicable to complex systems;guiding principle
493;Which practice has a purpose that includes managing risks to confidentiality, integrity and availability?;['Information security management', 'Continual improvement', 'Monitoring and event management', 'Service level management'];Information security management;management
494;Which is the MOST important stakeholder group that a service provider needs to collaborate with?;['Suppliers', 'Customers', 'Relationship managers', 'Developers'];Customers;service
495;Which activity is NOT recommended by the 'start where you are' guiding principle?;['Involving people who are not familiar with a service when observing and assessing its activities', 'Applying risk management when considering to introduce new processes', 'Using source data to avoid any unintentional data distortion found in reports', 'Discarding existing processes before assessing their usefulness'];Discarding existing processes before assessing their usefulness;guiding principle
496;For which purpose would the continual improvement practice use a SWOT analysis?;['Understanding the current state', 'Defining the future desired state', 'Tracking and managing ideas', 'Ensuring everyone actively participates'];Understanding the current state;guiding principle
497;What can a change schedule be used for?;['Speeding up the planning and authorization of emergency changes', 'Providing information about deployed changes to help manage incidents and problems.', 'Tracking and managing improvement ideas from identification through to final action', 'Providing a way to initiate normal changes'];Providing information about deployed changes to help manage incidents and problems.;problem/incident/emergency
498;Which role would is MOST SUITABLE for someone with experience of managing relationships with various stakeholders, including suppliers and business managers?;['Service level manager', 'Service desk agent', 'Change authority', 'Problem analyst'];Service level manager;service
499;Which practice ensures that a variety of access channels are available for users to report issues?;['Service desk', 'Service level management', 'Incident management', 'Change enablement'];Service desk;service desk
500;Which of the following is included in the purpose of the 'continual improvement' practice?;"['The restoration of normal service operation as quickly as possible', 'The establishment of links between the organization and its stakeholders at strategic and tactical levels', ""The alignment of the organization's practices and services with changing business needs"", 'The reduction of the likelihood and impact of incidents']";The alignment of the organization's practices and services with changing business needs;guiding principle
501;Which is a key requirement for successful service level agreements (SLAs)?;"['They should be written using language and terms which all parties will understand', 'They should be based on system-based metrics which are useful to the service provider', ""They should be carried forward, unchanged, 'rom one year to the next to enable uunsisleni service"", 'They should avoid ambiguous targets such as those relating to user experience']";They should be written using language and terms which all parties will understand;service
502;Which of the four dimensions focuses or managing data in compliance with industry regulations?;['Partners and suppliers', 'Organizations and people', 'Value streams and processes', 'Information and technology'];Information and technology;service
503;When using the 'continual improvement model, which information should be produced by an organization to understand where the organization is now?;['Business objectives', 'Improvement plans', 'Assessment results', 'Measureable Targets'];Assessment results;guiding principle
